tengu_auto_mode_denial_limit_exceeded	consecutiveDenials,isMcp,limit,messageID,mode,toolName,totalDenials
tengu_auto_mode_entry_warning_shown	<no-static-fields>
tengu_auto_mode_env_onboarding_accept	<no-static-fields>
tengu_auto_mode_env_onboarding_dismiss	<no-static-fields>
tengu_auto_mode_env_onboarding_later	<no-static-fields>
tengu_auto_mode_env_onboarding_shown	<no-static-fields>
tengu_auto_mode_fallback_to_ask	isMcp,reason,toolName
tengu_auto_mode_malformed_tool_input	isMcp,toolName
tengu_auto_mode_outcome	classifierModel,classifierType,failureKind,outcome,stopReason
tengu_auto_mode_outer_retry	attempt,model,outerRetries
tengu_auto_mode_repo_visibility_lookup_failed	reason
tengu_auto_mode_setup_wizard_answers	depth,posture,scope
tengu_auto_mode_setup_wizard_resolved	choice,mode,step
tengu_auto_mode_setup_wizard_shown	has_existing
tengu_auto_mode_sibling_context_error	<no-static-fields>
tengu_auto_mode_subsequent_approval	allowReasonType,isMcp,msSinceDeny,toolName
tengu_auto_updater_fail	attemptedVersion,durationMs,fromVersion,installationType,status,wasMigrated
tengu_auto_updater_forced_downgrade	from_version,to_version
tengu_auto_updater_lock_contention	currentVersion,pid
tengu_auto_updater_npm_failure	is_bundled_mode,npm_error_code,npm_exit_code,package_manager,platform,stderr_signature,windows_self_rename
tengu_auto_updater_success	durationMs,fromVersion,installationType,toVersion,wasMigrated
tengu_auto_updater_windows_npm_in_wsl	currentVersion
tengu_autocompact_command	action
tengu_autocompact_dialog_opened	source
tengu_autofix_pr_result	error_code,result
tengu_autofix_pr_started	action,has_pr_number,has_repo_path,has_repo_ref
tengu_autoupdate_channel_changed	channel,minimum_version_set
tengu_autoupdate_enabled	channel
tengu_background	via,via_flag
tengu_background_already_bg	<no-static-fields>
tengu_background_declined	inflight_count
tengu_background_fork	carryover_count,confirmed,had_prompt,had_worktree,inflight_count,mid_turn,worktree_handed_off
tengu_background_spawn_failed	via
tengu_bash_ast_too_complex	nodeTypeId
tengu_bash_command_clamp_denied	groupCount
tengu_bash_command_explicitly_backgrounded	command_type
tengu_bash_dangerous_rm_too_complex	<no-static-fields>
